timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
59 141 238 0.39699465375262605 0.0030053462473739745
59 225 252 0.3923648828682818 0.0076351171317182165
60 147 149 0.39509524448684186 0.0049047555131581655
61 147 149 0.39913591240860957 8.6408759139045E-4
61 196 243 0.39441070221404245 0.00558929778595757
61 223 236 0.39395864514498175 0.006041354855018277
62 11 214 0.3998063597222499 1.9364027775009562E-4
62 111 151 0.39534000797510693 0.004659992024893089
62 147 149 0.39913591240860957 8.6408759139045E-4
63 121 161 0.3890679761256591 0.010932023874340946
63 143 277 0.39098562428045813 0.00901437571954189
63 147 149 0.39913591240860957 8.6408759139045E-4
63 159 196 0.3968610141908714 0.003138985809128636
63 175 268 0.3928076939496044 0.007192306050395614
63 186 248 0.3910085074682914 0.008991492531708611
63 187 249 0.3970435115267196 0.0029564884732804497
64 147 149 0.39913591240860957 8.6408759139045E-4
64 151 216 0.39166947750654457 0.00833052249345545
64 189 264 0.39931089858915025 6.891014108497684E-4
64 252 271 0.3922071037443171 0.007792896255682913
65 45 231 0.3994464767267833 5.535232732167272E-4
65 69 74 0.39632972993574456 0.0036702700642554653
65 147 149 0.39913591240860957 8.6408759139045E-4
65 211 221 0.3968682286012691 0.0031317713987309426
66 86 178 0.39643648255894776 0.0035635174410522663
66 116 297 0.3983263828350626 0.0016736171649374132
66 199 271 0.39458611201552135 0.005413887984478671
66 248 264 0.3961673842873339 0.003832615712666132
67 46 92 0.3978573054790633 0.0021426945209367387
67 158 192 0.39288895675796187 0.007111043242038151
67 210 211 0.39364803048383207 0.006351969516167955
67 227 254 0.3949321591590705 0.005067840840929538
69 209 241 0.3940790796446806 0.005920920355319437
69 227 254 0.39639048279644623 0.0036095172035537915
69 297 298 0.3955956233653798 0.004404376634620233
70 16 111 0.39256711281891044 0.007432887181089587
70 186 209 0.39324563711463734 0.006754362885362686
71 11 107 0.39771417492377237 0.0022858250762276544
71 151 203 0.39246376601723454 0.007536233982765483
71 241 268 0.3932830180750179 0.006716981924982102
72 71 134 0.39543422014116997 0.004565779858830055
73 16 193 0.39784509564655757 0.002154904353442455
73 183 277 0.3997649595544779 2.3504044552213887E-4
73 209 279 0.3980338102688397 0.001966189731160306
75 25 33 0.3958421931481635 0.004157806851836532
75 150 161 0.39258303594274974 0.007416964057250286
75 156 258 0.39342584280617204 0.006574157193827979
76 210 211 0.39102017568370123 0.00897982431629879
76 274 290 0.3994570041707472 5.429958292528236E-4
77 47 107 0.39813551280909076 0.0018644871909092586
77 121 181 0.3922016678572087 0.007798332142791298
77 175 187 0.39178735495962647 0.008212645040373556
77 181 299 0.3932431650577529 0.006756834942247103
77 307 309 0.39059898066920923 0.009401019330790794
78 24 178 0.3933390014338977 0.006660998566102305
78 150 295 0.39642356444678284 0.003576435553217183
78 156 261 0.3943244632945016 0.0056755367054984185
78 170 291 0.3922033655739743 0.007796634426025739
78 244 255 0.3942030151783404 0.005796984821659634
79 47 203 0.38984014725393984 0.010159852746060183
79 64 278 0.39763386631367736 0.002366133686322658
79 215 274 0.3939704999849966 0.006029500015003408
80 64 66 0.3960280356137084 0.003971964386291604
80 115 300 0.399908502392711 9.149760728904832E-5
80 124 199 0.39805918787415645 0.0019408121258435718
80 261 288 0.3946925680548749 0.005307431945125118
81 14 20 0.3936096786312222 0.006390321368777818
81 116 297 0.3996205096198803 3.794903801196958E-4
81 134 295 0.39562419459148157 0.004375805408518452
81 244 246 0.3948024145935005 0.005197585406499505
81 298 308 0.39526670888703713 0.00473329111296289
82 29 86 0.39912923340101675 8.707665989832747E-4
82 107 271 0.3954873989276206 0.004512601072379441
82 154 222 0.39041426248528266 0.009585737514717363
82 156 276 0.3984985543545906 0.0015014456454094383
82 199 215 0.39724099582522115 0.0027590041747788674
82 203 205 0.39382456468303767 0.006175435316962352
82 231 277 0.3918333938088769 0.008166606191123138
82 244 246 0.39919402444766583 8.059755523341927E-4
82 282 283 0.3947520467188041 0.005247953281195927
83 154 222 0.39041426248528266 0.009585737514717363
83 252 254 0.39329388523387837 0.006706114766121651
83 282 283 0.3908443608109797 0.009155639189020348
84 4 225 0.3985677493653856 0.0014322506346144404
84 66 271 0.39327050079209225 0.006729499207907774
84 120 206 0.3925381276305887 0.007461872369411315
84 154 222 0.39041426248528266 0.009585737514717363
85 116 297 0.39624785532019735 0.0037521446798026714
85 116 302 0.39270430839406484 0.007295691605935184
85 120 206 0.3925381276305887 0.007461872369411315
85 146 191 0.39518211880754406 0.004817881192455964
85 154 222 0.39041426248528266 0.009585737514717363
85 254 283 0.39181056688512256 0.008189433114877465
86 115 314 0.39445099070172407 0.005549009298275953
86 159 183 0.3933799713929902 0.006620028607009831
86 160 191 0.3934731156959991 0.006526884304000946
86 226 263 0.3958112685261086 0.004188731473891427
86 319 325 0.39402674189422343 0.005973258105776591
87 135 140 0.3944799568645054 0.0055200431354946455
87 136 297 0.39465570544777895 0.005344294552221074
87 220 271 0.3996780639009464 3.219360990536213E-4
87 281 289 0.3927805786725655 0.007219421327434528
87 312 326 0.3932059703191705 0.006794029680829539
88 8 31 0.3926682927979951 0.007331707202004933
88 61 258 0.3923653879559087 0.007634612044091327
88 123 317 0.3917095485813547 0.008290451418645317
88 159 183 0.3986227371908217 0.0013772628091783257
