timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
7 3 28 0.39940802510452067 5.919748954793524E-4
22 43 105 0.39761343501701985 0.002386564982980177
22 48 74 0.3996209764542305 3.79023545769519E-4
24 19 44 0.39923079175348586 7.692082465141636E-4
25 3 76 0.39917186779390645 8.281322060935681E-4
25 19 36 0.399721363032728 2.78636967272039E-4
26 70 78 0.3990867273665926 9.132726334074026E-4
29 122 155 0.39632112616409787 0.0036788738359021522
40 93 139 0.3935164793648839 0.006483520635116147
40 175 182 0.39276161749688654 0.007238382503113483
45 68 100 0.3918636706562984 0.00813632934370162
48 109 125 0.39421842699964166 0.005781573000358364
49 108 175 0.39156452084052934 0.008435479159470682
55 163 168 0.39569093077467277 0.0043090692253272556
57 81 84 0.39959525392521783 4.047460747821918E-4
57 105 135 0.39645366081516237 0.0035463391848376546
62 107 161 0.3921326278855622 0.007867372114437832
64 46 59 0.393559756248689 0.0064402437513110256
64 113 114 0.3918753189735681 0.008124681026431935
65 60 170 0.3923805997225669 0.00761940027743313
66 68 101 0.39194274965218834 0.008057250347811684
66 164 175 0.3908768980714803 0.009123101928519728
67 18 162 0.3934554215126644 0.006544578487335639
69 50 88 0.3957645851457741 0.004235414854225905
70 50 88 0.39507567228654783 0.004924327713452192
79 81 187 0.39842816288446137 0.0015718371155386546
86 105 203 0.3936205575922592 0.0063794424077407985
88 98 107 0.3988443174495633 0.001155682550436743
88 199 209 0.39297970794143205 0.007020292058567967
89 96 169 0.3929639590300025 0.007036040969997548
90 3 190 0.3942252871885538 0.005774712811446203
94 132 141 0.39848619410636105 0.0015138058936389753
97 154 170 0.39983929905623855 1.6070094376147148E-4
100 159 181 0.3993182853815889 6.817146184111E-4
121 13 131 0.3954601130636953 0.004539886936304749
122 18 201 0.3973024664475035 0.0026975335524965227
124 85 147 0.3956346062844248 0.004365393715575205
155 16 107 0.39147314141585804 0.008526858584141983
161 129 186 0.39411735474920206 0.005882645250797958
175 35 170 0.39429470792915416 0.005705292070845858
179 35 170 0.3916088904771079 0.008391109522892126
185 11 160 0.3932534984198506 0.006746501580149444
