timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
12 11 41 0.39847836284812693 0.0015216371518730898
18 14 77 0.390424334330206 0.009575665669794009
19 13 45 0.3940373542845093 0.005962645715490711
19 54 80 0.39448289865271036 0.005517101347289666
21 56 77 0.38877005092185546 0.011229949078144563
22 71 77 0.39057103953799205 0.009428960462007974
22 77 91 0.3999911942784878 8.805721512239462E-6
22 93 94 0.39436501555586057 0.005634984444139457
23 14 81 0.3958707135240488 0.004129286475951233
23 38 80 0.38969228910706954 0.010307710892930477
24 33 44 0.39423229498401774 0.005767705015982283
24 37 65 0.3962532331815986 0.0037467668184014147
24 42 52 0.3953987099000307 0.004601290099969346
25 33 44 0.39423229498401774 0.005767705015982283
26 33 44 0.39423229498401774 0.005767705015982283
26 109 125 0.3953596223437596 0.004640377656240424
27 11 38 0.39717635272589735 0.0028236472741026697
27 33 44 0.39423229498401774 0.005767705015982283
28 18 37 0.39930436399808183 6.956360019181873E-4
28 33 44 0.39423229498401774 0.005767705015982283
28 94 105 0.3907500757385501 0.009249924261449938
29 3 54 0.39394375763861905 0.00605624236138097
29 33 44 0.39423229498401774 0.005767705015982283
30 25 66 0.399513673122648 4.8632687735200575E-4
30 33 44 0.39423229498401774 0.005767705015982283
30 45 123 0.3998789438147532 1.2105618524682615E-4
31 33 44 0.39423229498401774 0.005767705015982283
31 41 74 0.3971711304108699 0.002828869589130145
31 45 156 0.3968082268510938 0.0031917731489062295
31 147 152 0.3986312541397749 0.001368745860225118
32 56 86 0.39274716952030664 0.007252830479693384
33 111 141 0.39665936356065234 0.0033406364393476773
33 136 139 0.39215548447304915 0.007844515526950868
34 4 13 0.3956464845239814 0.004353515476018643
34 66 119 0.3891300088216988 0.01086999117830123
34 99 110 0.39660220326075846 0.0033977967392415653
35 3 79 0.39718197441868996 0.0028180255813100574
35 55 71 0.39283197953804355 0.00716802046195647
35 144 156 0.39213182208295805 0.007868177917041974
36 61 85 0.39105241793153733 0.00894758206846269
36 83 103 0.3989392982856975 0.0010607017143025033
37 50 70 0.3955348997162089 0.004465100283791101
37 77 78 0.39806524251438336 0.0019347574856166672
37 149 177 0.3953390497287201 0.00466095027127994
38 54 86 0.39946161789830464 5.383821016953783E-4
39 104 114 0.39772264180154 0.0022773581984600333
39 111 157 0.3928215577466036 0.007178442253396422
39 170 179 0.3977374478819515 0.002262552118048544
40 71 97 0.3946781777006661 0.005321822299333923
40 151 170 0.3947558547722858 0.005244145227714214
41 72 120 0.394685429341451 0.0053145706585490116
42 131 140 0.3991561339352226 8.438660647774321E-4
43 116 127 0.39668910995847056 0.0033108900415294573
44 14 124 0.38953230298419766 0.010467697015802357
44 108 176 0.3917449633041148 0.008255036695885232
44 134 155 0.39741689313984535 0.0025831068601546714
45 13 179 0.39372981081454356 0.006270189185456465
46 57 89 0.3922766409891546 0.007723359010845421
46 95 98 0.3953770455616318 0.004622954438368243
47 113 124 0.3962093878717892 0.003790612128210802
47 126 156 0.3959179803780186 0.004082019621981403
48 30 79 0.39691608144320184 0.003083918556798182
48 151 176 0.39781486696161994 0.0021851330383800827
48 164 180 0.39574296609154264 0.004257033908457386
