timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
10 41 53 0.39527692963980465 0.004723070360195369
11 50 60 0.39340949010970416 0.006590509890295859
12 54 63 0.39512259693270474 0.004877403067295283
13 27 34 0.3934579284061211 0.006542071593878929
13 38 44 0.39498371672398946 0.005016283276010558
15 34 37 0.3991828816340313 8.171183659687054E-4
17 10 93 0.39535765077214785 0.004642349227852172
19 7 64 0.39935962196710895 6.403780328910758E-4
19 34 37 0.3931233562961982 0.00687664370380181
19 38 94 0.39669275828903255 0.003307241710967468
21 11 44 0.3894622624069991 0.010537737593000918
21 56 79 0.39929410919964264 7.058908003573783E-4
23 38 79 0.3941298551057917 0.00587014489420834
23 64 82 0.3988792171908743 0.0011207828091256977
28 83 98 0.38929249133111676 0.010707508668883259
30 27 64 0.39173035637778497 0.00826964362221505
31 2 119 0.39833910066686185 0.0016608993331381772
31 27 64 0.39173035637778497 0.00826964362221505
31 56 81 0.39629748424193806 0.003702515758061964
34 85 92 0.3910916122245395 0.008908387775460547
35 56 107 0.39282542356168565 0.007174576438314373
36 35 114 0.39854083433537263 0.0014591656646273932
36 67 96 0.39524477598035507 0.004755224019644955
36 127 132 0.39436127041622693 0.005638729583773094
37 59 110 0.39237745177325617 0.007622548226743853
37 124 158 0.3977267868624631 0.0022732131375369224
38 142 145 0.3906325056721785 0.009367494327821524
38 157 159 0.3963159198541309 0.0036840801458691286
38 169 171 0.39999291197305925 7.088026940771375E-6
39 11 18 0.3957117962636032 0.004288203736396823
39 128 147 0.3995163348548218 4.836651451782248E-4
40 29 166 0.396006156834588 0.003993843165412014
40 149 182 0.3926835350728026 0.007316464927197397
40 150 193 0.3910497899200068 0.008950210079993248
40 156 166 0.3933433435761665 0.006656656423833507
41 62 86 0.3991290677481879 8.709322518121176E-4
41 157 169 0.39624757203276123 0.0037524279672387917
42 43 109 0.3956733047613479 0.004326695238652145
42 59 64 0.3905185682705406 0.009481431729459422
42 62 86 0.3991290677481879 8.709322518121176E-4
42 117 125 0.3977025275758571 0.00229747242414291
42 186 228 0.39642968083375263 0.003570319166247393
43 11 18 0.3932842415686473 0.006715758431352747
43 47 91 0.3970187710137409 0.0029812289862591324
43 144 178 0.39065725598328466 0.009342744016715365
43 159 169 0.394868856491695 0.005131143508305014
44 32 60 0.3932554577341011 0.006744542265898934
44 121 161 0.3989898535347676 0.0010101464652323977
45 121 161 0.3989898535347676 0.0010101464652323977
45 127 132 0.39440170368149136 0.0055982963185086665
46 78 163 0.39393342612320387 0.006066573876796155
46 88 103 0.3965626885016933 0.0034373114983067277
46 121 161 0.3989898535347676 0.0010101464652323977
46 197 216 0.3949643233506586 0.005035676649341403
47 3 60 0.39185022191542157 0.008149778084578452
47 17 33 0.3960925711081677 0.003907428891832321
47 18 42 0.3977821567863906 0.002217843213609405
47 134 174 0.3964370401305841 0.003562959869415905
47 156 212 0.3970716632575529 0.002928336742447135
48 12 110 0.3945158977226683 0.005484102277331704
48 29 156 0.3984682010348552 0.001531798965144826
48 134 174 0.3964370401305841 0.003562959869415905
48 197 216 0.39589846399970935 0.004101536000290673
48 238 262 0.3948861916438648 0.00511380835613523
48 255 267 0.39100074743213137 0.008999252567868654
49 35 169 0.39510398289284127 0.004896017107158757
49 48 125 0.3922726784955901 0.007727321504409912
49 150 151 0.39789795751022566 0.0021020424897743584
49 178 199 0.39551054740638375 0.004489452593616272
49 187 240 0.3935856376764279 0.00641436232357212
49 209 221 0.3991814335338027 8.185664661973235E-4
49 252 263 0.3949294673882785 0.005070532611721523
50 49 108 0.39553675217256795 0.004463247827432071
50 142 163 0.3933944128435216 0.00660558715647841
50 143 242 0.39339597047611685 0.00660402952388317
50 160 195 0.38921627582545215 0.01078372417454787
50 230 246 0.39752689196085994 0.0024731080391400817
50 255 272 0.3966629527167687 0.003337047283231309
51 143 242 0.39339597047611685 0.00660402952388317
51 186 261 0.393710060733022 0.006289939266978017
51 274 284 0.39726768145626606 0.002732318543733958
52 173 182 0.3908490085497405 0.009150991450259549
52 186 261 0.393710060733022 0.006289939266978017
53 3 71 0.3930254554045366 0.006974544595463428
53 51 100 0.3968173470602731 0.0031826529397269154
53 186 261 0.393710060733022 0.006289939266978017
53 218 255 0.3999040568680856 9.594313191441106E-5
53 220 226 0.39716568088840337 0.0028343191115966504
54 25 221 0.39347066031971384 0.006529339680286184
54 164 191 0.3992102940031085 7.897059968915432E-4
54 186 261 0.393710060733022 0.006289939266978017
54 279 284 0.39961051122463254 3.8948877536748583E-4
55 48 85 0.39877039944282555 0.0012296005571744706
55 142 163 0.3997049380263479 2.9506197365214426E-4
55 144 240 0.393083112907024 0.0069168870929759985
55 218 259 0.39435730984219414 0.005642690157805885
55 262 278 0.3951073566580019 0.004892643341998126
55 284 290 0.3967902564062088 0.0032097435937912255
56 12 64 0.39695725222642525 0.003042747773574772
56 150 151 0.39359033861018417 0.006409661389815857
56 185 246 0.39578724571215973 0.004212754287840292
56 186 261 0.39172960280923985 0.00827039719076017
57 16 155 0.3966776728480878 0.003322327151912219
57 71 76 0.39802789937337835 0.0019721006266216756
57 132 169 0.39669639148994335 0.003303608510056677
57 150 151 0.39359033861018417 0.006409661389815857
57 156 246 0.39323446363451586 0.006765536365484159
57 220 226 0.39187890137383474 0.00812109862616528
58 16 155 0.3966776728480878 0.003322327151912219
58 56 119 0.3937348032422895 0.006265196757710534
58 232 233 0.394481741533428 0.005518258466572001
58 251 287 0.3943982365624703 0.0056017634375297165
58 259 264 0.3961688258724593 0.0038311741275407485
59 16 155 0.3966776728480878 0.003322327151912219
59 135 214 0.393988307311763 0.006011692688237036
59 138 164 0.39126332351925935 0.008736676480740668
59 235 258 0.3979788864793299 0.002021113520670137
59 270 285 0.393713969632971 0.006286030367029016
60 16 155 0.3966776728480878 0.003322327151912219
60 149 197 0.39815691507009504 0.0018430849299049812
60 187 270 0.3941208458298932 0.005879154170106815
60 197 203 0.39652568828028106 0.003474311719718959
60 281 292 0.39922977756499495 7.702224350050746E-4
61 111 144 0.3894542812584742 0.010545718741525822
62 45 86 0.3973079546106535 0.0026920453893465313
64 22 153 0.3922996915687291 0.007700308431270897
64 149 151 0.3938851216964387 0.006114878303561333
64 185 259 0.3952152627691897 0.004784737230810299
65 61 166 0.39372755405791987 0.0062724459420801515
65 64 178 0.3977802430790757 0.0022197569209242984
65 200 201 0.398770596817165 0.0012294031828350427
65 215 216 0.39184562846715526 0.008154371532844762
67 35 151 0.399969408628527 3.059137147304325E-5
