timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
6 1 60 0.39694344477359605 0.0030565552264039675
6 14 61 0.39075701242664307 0.009242987573356953
6 16 66 0.3906847912179782 0.0093152087820218
6 25 72 0.3907698329519299 0.009230167048070115
6 26 68 0.39199998135506403 0.008000018644935991
6 31 68 0.387105551505861 0.01289444849413901
6 40 61 0.39309325193519745 0.00690674806480257
6 47 67 0.39501038284040346 0.00498961715959656
6 57 68 0.3884040092420105 0.011595990757989505
7 1 60 0.39694344477359605 0.0030565552264039675
7 14 61 0.39075701242664307 0.009242987573356953
7 16 66 0.3906847912179782 0.0093152087820218
7 25 72 0.3907698329519299 0.009230167048070115
7 31 68 0.387105551505861 0.01289444849413901
7 40 61 0.39309325193519745 0.00690674806480257
7 47 67 0.39501038284040346 0.00498961715959656
7 57 68 0.3884040092420105 0.011595990757989505
7 75 84 0.3937390231292559 0.006260976870744117
8 25 46 0.3926218487622294 0.007378151237770636
8 47 67 0.39501038284040346 0.00498961715959656
8 57 68 0.3884040092420105 0.011595990757989505
8 57 87 0.3924188364969225 0.007581163503077526
8 60 81 0.3994237237412886 5.762762587114278E-4
9 25 46 0.3926218487622294 0.007378151237770636
9 60 81 0.3994237237412886 5.762762587114278E-4
10 60 81 0.3994237237412886 5.762762587114278E-4
10 65 91 0.38762634457142003 0.012373655428579988
11 60 81 0.3994237237412886 5.762762587114278E-4
11 85 104 0.39299704375426836 0.007002956245731662
12 60 81 0.3994237237412886 5.762762587114278E-4
12 77 105 0.3913451233752821 0.008654876624717922
12 85 104 0.39299704375426836 0.007002956245731662
12 91 105 0.3982300072324527 0.0017699927675473015
12 96 108 0.3905700143592296 0.00942998564077041
12 99 110 0.3940374730277215 0.0059625269722785035
13 77 105 0.3913451233752821 0.008654876624717922
13 91 105 0.3982300072324527 0.0017699927675473015
13 96 108 0.3905700143592296 0.00942998564077041
13 99 110 0.3940374730277215 0.0059625269722785035
14 17 53 0.39615927877480844 0.003840721225191579
14 77 105 0.3913451233752821 0.008654876624717922
14 91 105 0.3982300072324527 0.0017699927675473015
14 96 108 0.3905700143592296 0.00942998564077041
14 99 110 0.3940374730277215 0.0059625269722785035
14 119 127 0.39631499724489955 0.003685002755100475
15 17 87 0.39631856317197056 0.0036814368280294607
15 91 105 0.3982300072324527 0.0017699927675473015
15 96 108 0.3905700143592296 0.00942998564077041
15 118 123 0.39455284858717976 0.005447151412820261
16 17 87 0.39631856317197056 0.0036814368280294607
16 43 95 0.3933251353721742 0.0066748646278258494
16 118 123 0.39455284858717976 0.005447151412820261
17 17 87 0.39631856317197056 0.0036814368280294607
17 43 95 0.3933251353721742 0.0066748646278258494
17 54 70 0.3935494287227363 0.006450571277263728
17 118 123 0.39455284858717976 0.005447151412820261
18 17 87 0.39631856317197056 0.0036814368280294607
18 25 140 0.39629237739868056 0.00370762260131946
18 86 122 0.3985789046115323 0.0014210953884677413
18 118 123 0.39455284858717976 0.005447151412820261
19 7 111 0.3986550095929095 0.0013449904070905183
19 24 120 0.39393988958938614 0.006060110410613884
19 25 140 0.39629237739868056 0.00370762260131946
19 118 123 0.39455284858717976 0.005447151412820261
19 124 146 0.39885156427761276 0.0011484357223872643
20 7 111 0.3986550095929095 0.0013449904070905183
20 24 120 0.39393988958938614 0.006060110410613884
20 88 149 0.39957326671742044 4.267332825795833E-4
20 107 126 0.3910237442117843 0.008976255788215703
20 134 148 0.3912281755542266 0.008771824445773402
20 141 148 0.39938500593766235 6.149940623376704E-4
21 24 120 0.39393988958938614 0.006060110410613884
21 63 153 0.39612140999291257 0.003878590007087457
21 74 111 0.3872754817190351 0.012724518280964936
21 107 126 0.3910237442117843 0.008976255788215703
21 134 148 0.3912281755542266 0.008771824445773402
21 141 148 0.39938500593766235 6.149940623376704E-4
21 142 151 0.39491704849238485 0.005082951507615174
22 24 120 0.39393988958938614 0.006060110410613884
22 63 153 0.39612140999291257 0.003878590007087457
22 74 111 0.3872754817190351 0.012724518280964936
22 141 148 0.39938500593766235 6.149940623376704E-4
22 142 151 0.39491704849238485 0.005082951507615174
23 32 121 0.39945866058713575 5.413394128642723E-4
23 37 164 0.395464957275849 0.004535042724151006
23 63 153 0.39612140999291257 0.003878590007087457
23 74 111 0.3872754817190351 0.012724518280964936
23 134 141 0.39573290775100645 0.004267092248993576
23 142 151 0.39491704849238485 0.005082951507615174
24 32 121 0.39945866058713575 5.413394128642723E-4
24 37 164 0.395464957275849 0.004535042724151006
24 63 166 0.396508776047806 0.0034912239521940336
24 74 111 0.3872754817190351 0.012724518280964936
24 119 170 0.3923213314185348 0.007678668581465209
24 134 141 0.39573290775100645 0.004267092248993576
24 162 170 0.390769811893062 0.009230188106938042
25 7 74 0.3954020112115329 0.004597988788467122
25 37 164 0.395464957275849 0.004535042724151006
25 63 166 0.396508776047806 0.0034912239521940336
25 119 170 0.3923213314185348 0.007678668581465209
25 134 141 0.39573290775100645 0.004267092248993576
25 162 170 0.390769811893062 0.009230188106938042
26 7 74 0.3954020112115329 0.004597988788467122
26 37 164 0.395464957275849 0.004535042724151006
26 63 166 0.396508776047806 0.0034912239521940336
26 134 141 0.39573290775100645 0.004267092248993576
26 162 170 0.390769811893062 0.009230188106938042
27 7 74 0.3954020112115329 0.004597988788467122
27 63 166 0.396508776047806 0.0034912239521940336
27 134 141 0.39573290775100645 0.004267092248993576
27 162 170 0.390769811893062 0.009230188106938042
28 7 74 0.3954020112115329 0.004597988788467122
28 63 166 0.396508776047806 0.0034912239521940336
29 7 74 0.3954020112115329 0.004597988788467122
33 116 169 0.397023059457156 0.002976940542844031
34 33 154 0.39469227026235476 0.0053077297376452615
34 116 169 0.397023059457156 0.002976940542844031
35 153 157 0.394099413451864 0.005900586548136022
35 156 174 0.3910630391119123 0.008936960888087708
35 156 189 0.39171627872491116 0.008283721275088862
36 153 157 0.394099413451864 0.005900586548136022
36 156 174 0.3910630391119123 0.008936960888087708
36 156 189 0.39171627872491116 0.008283721275088862
37 156 174 0.3910630391119123 0.008936960888087708
38 156 174 0.3910630391119123 0.008936960888087708
