[01/02/2021-15:20:11] #   50 | MSE = 1.51362 | Loss G = 533.4352 | Loss D = 731.5042 | time = 79.88 s 
[01/02/2021-15:20:11] Saving model to  /home/lda/Documents/MLCMS/Ex6/GAN/trained_models/trajectory-gan.pt 
[01/02/2021-15:21:30] #   51 | MSE = 1.54778 | Loss G = 535.7610 | Loss D = 732.2421 | time = 79.33 s 
[01/02/2021-15:22:49] #   52 | MSE = 1.52964 | Loss G = 533.6212 | Loss D = 731.7614 | time = 78.98 s 
[01/02/2021-15:24:08] #   53 | MSE = 1.48862 | Loss G = 529.6902 | Loss D = 732.1100 | time = 78.96 s 
[01/02/2021-15:25:28] #   54 | MSE = 1.48413 | Loss G = 527.2852 | Loss D = 732.5143 | time = 79.88 s 
[01/02/2021-15:26:47] #   55 | MSE = 1.45277 | Loss G = 525.1078 | Loss D = 731.8663 | time = 79.48 s 
[01/02/2021-15:28:07] #   56 | MSE = 1.47957 | Loss G = 527.6020 | Loss D = 732.3664 | time = 79.44 s 
[01/02/2021-15:29:26] #   57 | MSE = 1.49273 | Loss G = 529.7025 | Loss D = 732.1869 | time = 79.52 s 
[01/02/2021-15:30:45] #   58 | MSE = 1.46798 | Loss G = 526.4875 | Loss D = 732.1665 | time = 79.08 s 
[01/02/2021-15:32:05] #   59 | MSE = 1.42182 | Loss G = 522.6336 | Loss D = 732.1408 | time = 79.76 s 
[01/02/2021-15:33:24] #   60 | MSE = 1.47834 | Loss G = 528.1819 | Loss D = 732.1914 | time = 79.31 s 
[01/02/2021-15:34:44] #   61 | MSE = 1.42808 | Loss G = 523.5737 | Loss D = 732.4078 | time = 79.68 s 
[01/02/2021-15:36:04] #   62 | MSE = 1.45884 | Loss G = 526.0693 | Loss D = 732.4370 | time = 79.85 s 
[01/02/2021-15:37:23] #   63 | MSE = 1.41383 | Loss G = 521.9766 | Loss D = 732.3690 | time = 79.07 s 
[01/02/2021-15:38:42] #   64 | MSE = 1.41511 | Loss G = 520.5316 | Loss D = 733.0869 | time = 79.90 s 
[01/02/2021-15:40:02] #   65 | MSE = 1.40438 | Loss G = 520.1434 | Loss D = 732.7329 | time = 79.57 s 
[01/02/2021-15:41:22] #   66 | MSE = 1.40414 | Loss G = 519.3608 | Loss D = 732.4385 | time = 79.96 s 
[01/02/2021-15:42:41] #   67 | MSE = 1.40655 | Loss G = 520.2534 | Loss D = 732.3110 | time = 79.27 s 
[01/02/2021-15:44:01] #   68 | MSE = 1.41706 | Loss G = 520.3070 | Loss D = 731.9526 | time = 79.55 s 
[01/02/2021-15:45:21] #   69 | MSE = 1.35713 | Loss G = 514.4242 | Loss D = 732.8199 | time = 80.27 s 
