timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
4 24 50 0.38862488740834206 0.011375112591657965
5 24 50 0.38862488740834206 0.011375112591657965
6 18 72 0.3908409951593989 0.009159004840601115
6 24 50 0.38862488740834206 0.011375112591657965
6 31 69 0.39086687413171045 0.009133125868289571
7 24 50 0.38862488740834206 0.011375112591657965
7 31 69 0.39086687413171045 0.009133125868289571
8 24 50 0.38862488740834206 0.011375112591657965
8 45 81 0.3996527304028003 3.472695971997175E-4
9 45 81 0.3996527304028003 3.472695971997175E-4
10 16 39 0.3898766063760869 0.010123393623913124
10 45 81 0.3996527304028003 3.472695971997175E-4
10 64 90 0.3945943022222746 0.005405697777725427
11 16 39 0.3898766063760869 0.010123393623913124
11 45 81 0.3996527304028003 3.472695971997175E-4
11 64 90 0.3945943022222746 0.005405697777725427
12 7 103 0.39558270335317175 0.004417296646828273
12 14 101 0.3991596434064678 8.403565935322099E-4
12 16 39 0.3898766063760869 0.010123393623913124
12 45 81 0.3996527304028003 3.472695971997175E-4
12 56 107 0.39843220562251985 0.0015677943774801695
12 64 90 0.3945943022222746 0.005405697777725427
12 80 102 0.39261718741438834 0.007382812585611687
12 91 103 0.39648672980996824 0.003513270190031781
13 7 103 0.39558270335317175 0.004417296646828273
13 14 101 0.3991596434064678 8.403565935322099E-4
13 16 39 0.3898766063760869 0.010123393623913124
13 45 81 0.3996527304028003 3.472695971997175E-4
13 56 107 0.39843220562251985 0.0015677943774801695
13 73 88 0.39479438090177127 0.005205619098228753
13 80 102 0.39261718741438834 0.007382812585611687
13 91 103 0.39648672980996824 0.003513270190031781
14 7 103 0.39558270335317175 0.004417296646828273
14 56 107 0.39843220562251985 0.0015677943774801695
14 91 103 0.39648672980996824 0.003513270190031781
14 103 117 0.38935296026111976 0.01064703973888026
15 7 103 0.39558270335317175 0.004417296646828273
15 56 107 0.39843220562251985 0.0015677943774801695
15 91 103 0.39648672980996824 0.003513270190031781
15 103 117 0.38935296026111976 0.01064703973888026
16 7 103 0.39558270335317175 0.004417296646828273
16 65 132 0.394286729934233 0.0057132700657669955
16 90 131 0.39887337946484275 0.0011266205351572744
16 91 103 0.39648672980996824 0.003513270190031781
16 103 117 0.38935296026111976 0.01064703973888026
16 111 131 0.3939904206367499 0.006009579363250139
17 65 132 0.394286729934233 0.0057132700657669955
17 90 131 0.39887337946484275 0.0011266205351572744
18 90 131 0.39887337946484275 0.0011266205351572744
19 7 117 0.3992058855461581 7.941144538419209E-4
19 25 147 0.3897097691474273 0.010290230852572746
19 90 131 0.39887337946484275 0.0011266205351572744
19 116 147 0.3895332441537661 0.01046675584623391
19 124 145 0.39534389147216276 0.004656108527837266
20 7 117 0.3992058855461581 7.941144538419209E-4
20 25 142 0.39043877114122977 0.009561228858770254
20 90 131 0.39887337946484275 0.0011266205351572744
20 116 147 0.3895332441537661 0.01046675584623391
21 7 103 0.3955347558844558 0.00446524411554422
21 25 142 0.39043877114122977 0.009561228858770254
21 116 147 0.3895332441537661 0.01046675584623391
21 131 154 0.39148905720317556 0.008510942796824461
21 132 152 0.3996224932760566 3.7750672394343265E-4
22 14 157 0.392088234200524 0.007911765799476
22 25 142 0.39043877114122977 0.009561228858770254
22 116 147 0.3895332441537661 0.01046675584623391
22 132 152 0.3996224932760566 3.7750672394343265E-4
23 14 157 0.392088234200524 0.007911765799476
23 116 147 0.3895332441537661 0.01046675584623391
24 14 157 0.392088234200524 0.007911765799476
24 141 167 0.3948825014944891 0.005117498505510909
25 14 157 0.392088234200524 0.007911765799476
25 140 169 0.39911311887270806 8.868811272919608E-4
25 141 167 0.3948825014944891 0.005117498505510909
26 115 124 0.3946723174349208 0.005327682565079206
26 116 174 0.3954277171386322 0.004572282861367849
26 141 167 0.3948825014944891 0.005117498505510909
27 108 176 0.39521166975003874 0.004788330249961281
27 115 124 0.3946723174349208 0.005327682565079206
27 116 174 0.3954277171386322 0.004572282861367849
27 141 167 0.3948825014944891 0.005117498505510909
28 80 136 0.3952735140541712 0.004726485945828807
28 108 176 0.39521166975003874 0.004788330249961281
28 115 124 0.3946723174349208 0.005327682565079206
28 116 174 0.3954277171386322 0.004572282861367849
29 80 136 0.3952735140541712 0.004726485945828807
29 116 174 0.3954277171386322 0.004572282861367849
30 80 136 0.3952735140541712 0.004726485945828807
30 147 187 0.38994387439682293 0.01005612560317709
31 80 136 0.3952735140541712 0.004726485945828807
31 147 187 0.38994387439682293 0.01005612560317709
32 80 136 0.3952735140541712 0.004726485945828807
32 147 187 0.38994387439682293 0.01005612560317709
33 39 157 0.3985321132100786 0.0014678867899214354
34 39 157 0.3985321132100786 0.0014678867899214354
34 155 193 0.3909364548562429 0.009063545143757124
34 180 196 0.3906979119445619 0.00930208805543814
34 191 196 0.39027456871175437 0.009725431288245656
35 155 193 0.3909364548562429 0.009063545143757124
35 180 196 0.3906979119445619 0.00930208805543814
35 191 196 0.39027456871175437 0.009725431288245656
36 155 193 0.3909364548562429 0.009063545143757124
36 180 196 0.3906979119445619 0.00930208805543814
36 190 199 0.39965894717751 3.410528224900289E-4
48 89 143 0.39696708689922766 0.003032913100772361
49 89 143 0.39696708689922766 0.003032913100772361
53 162 193 0.39885046720666345 0.0011495327933365718
54 162 193 0.39885046720666345 0.0011495327933365718
