timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
25 9 29 0.39313362019620335 0.006866379803796674
28 69 79 0.3949835265998027 0.005016473400197341
32 2 113 0.392085524823352 0.007914475176648006
38 97 109 0.39838025806755306 0.0016197419324469609
47 200 224 0.39943702619984367 5.629738001563522E-4
49 69 98 0.3926414967168043 0.007358503283195705
51 56 93 0.3977548208287497 0.0022451791712503333
52 118 158 0.39323591794485563 0.006764082055144394
54 190 232 0.395131546239189 0.00486845376081102
54 212 233 0.39006366146962 0.009936338530380007
54 251 281 0.3965787265332515 0.003421273466748531
57 96 151 0.3953791898847321 0.004620810115267937
58 187 231 0.3907945639023738 0.009205436097626196
59 188 218 0.3907071552839204 0.009292844716079607
59 242 259 0.39226971720325926 0.007730282796740762
60 225 255 0.3997012656792082 2.9873432079180473E-4
61 118 137 0.39446284857366765 0.005537151426332376
61 170 173 0.3991661497399685 8.338502600315212E-4
63 157 210 0.3895005500036538 0.010499449996346222
72 168 179 0.3992070939446254 7.929060553746314E-4
76 219 231 0.3910442942318827 0.008955705768117328
76 248 258 0.39691979949708067 0.00308020050291935
77 234 250 0.39622821822453963 0.003771781775460392
79 184 304 0.3892162549821491 0.010783745017850899
79 192 304 0.3926173005401227 0.0073826994598772955
80 242 246 0.39533237284369743 0.0046676271563025895
81 178 221 0.3969678789860578 0.003032121013942235
82 51 229 0.3960180653494227 0.0039819346505773345
83 193 248 0.39735078495322323 0.002649215046776787
84 174 263 0.38992981075853594 0.010070189241464078
87 82 89 0.39178122418598765 0.008218775814012369
90 212 254 0.3903410846583095 0.0096589153416905
92 8 252 0.3944517537439686 0.005548246256031397
92 208 322 0.39137614167319457 0.008623858326805456
94 143 214 0.39502620917536213 0.0049737908246378915
98 208 328 0.39239826284244095 0.007601737157559074
99 168 212 0.39939924462246645 6.007553775335683E-4
99 311 316 0.39258722800294504 0.007412771997054979
101 113 260 0.39303959854535764 0.006960401454642384
101 200 238 0.3989286647707941 0.0010713352292059386
105 303 306 0.3929083584402061 0.007091641559793915
105 328 349 0.39801090611961804 0.001989093880381987
107 229 289 0.3964594415611426 0.003540558438857422
108 313 336 0.39528076274621826 0.004719237253781761
109 162 247 0.39875050710554316 0.0012494928944568606
109 274 297 0.3915121714843015 0.008487828515698514
110 162 247 0.39875050710554316 0.0012494928944568606
110 237 304 0.3952037018698655 0.004796298130134546
113 339 364 0.3960840667339984 0.003915933266001648
121 344 364 0.3931913773933212 0.006808622606678805
121 364 368 0.3961419682834643 0.0038580317165357036
122 195 275 0.396983154075253 0.003016845924747047
124 54 260 0.39228703573553036 0.007712964264469657
126 107 186 0.39742742156696514 0.0025725784330348778
130 137 195 0.39673804539494756 0.003261954605052464
133 143 186 0.39379144710745595 0.0062085528925440725
133 143 212 0.38902119338150687 0.010978806618493153
138 268 309 0.39834524197892673 0.0016547580210732882
141 160 194 0.3949088331363661 0.0050911668636339225
145 198 315 0.3949281150489653 0.005071884951034722
145 223 322 0.3920575086423282 0.007942491357671833
146 198 315 0.3961937358809023 0.0038062641190977353
153 133 264 0.39461934900463647 0.005380650995363556
157 277 293 0.38935272942124105 0.010647270578758972
166 21 313 0.39171438614594034 0.008285613854059681
176 225 326 0.39640540867069773 0.003594591329302288
179 268 296 0.39129469719544707 0.00870530280455295
182 223 301 0.3884415755653973 0.011558424434602699
182 247 291 0.39583101363395096 0.004168986366049066
197 224 229 0.39794592997115774 0.002054070028842281
223 305 319 0.39180464391442504 0.008195356085574979
229 324 363 0.39126944465364677 0.008730555346353253
233 149 326 0.399767209789433 2.3279021056704652E-4
